date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:58	88/88	---MCZ	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2011:53:49%20GMT	https://divinefitness-gym.business.site/robots.txt		(from )
17:22:58	203891/203891	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Oct%202022%2011:53:49%20GMT	https://divinefitness-gym.business.site/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/divinefitness-gym.business.site/index.html	(from )
17:22:59	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/www.google-analytics.com/analytics.js	(from https://divinefitness-gym.business.site/)
17:22:59	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2011:53:50%20GMT	https://divinefitness-gym.business.site/website/demo/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/divinefitness-gym.business.site/website/demo/index.html	(from https://divinefitness-gym.business.site/)
17:22:59	35101/35101	---M--	200	added ('OK')	text/javascript	date:Sat,%2029%20Oct%202022%2011:44:41%20GMT	https://www.gstatic.com/feedback/api.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/www.gstatic.com/feedback/api.js	(from https://divinefitness-gym.business.site/)
17:23:00	17583/17583	---M--	200	added ('OK')	text/javascript	etag:%220221e1b72c0d92f1%22	https://apis.google.com/js/api.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/apis.google.com/js/api.js	(from https://divinefitness-gym.business.site/)
17:23:00	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2011:53:51%20GMT	https://divinefitness-gym.business.site/b	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/divinefitness-gym.business.site/b.3.delayed	(from https://divinefitness-gym.business.site/)
17:23:01	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2011:53:52%20GMT	https://divinefitness-gym.business.site/https:	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/divinefitness-gym.business.site/https_.4.delayed	(from https://divinefitness-gym.business.site/)
17:23:01	110585/110585	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://www.gstatic.com/bfe/apps/website/css/LTR_222161133.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/www.gstatic.com/bfe/apps/website/css/LTR_222161133.css	(from https://divinefitness-gym.business.site/)
17:23:02	1642/1642	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2011:53:52%20GMT	https://divinefitness-gym.business.site/+/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day12/Web60/Site60/divinefitness-gym.business.site/+/index.html	(from https://divinefitness-gym.business.site/)
